@RELATION training_keyboard


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
487,486,South,116,2,10,11,11,3,8,9,20,12,22,5
586,585,South,115,2,10,10,11,4,7,9,20,11,22,6
685,684,South,114,2,10,9,11,4,6,9,20,11,21,6
784,783,West,113,2,9,9,11,3,6,8,20,11,21,7
883,882,West,112,2,8,9,12,3,6,8,19,11,20,7
982,981,West,111,2,7,9,13,3,6,9,19,11,20,6
1181,1180,West,111,2,6,9,13,4,-1,-1,20,11,20,5
1180,1179,West,111,2,5,9,14,4,-1,-1,20,12,20,4
1279,1278,South,110,2,5,8,13,4,-1,-1,19,12,20,5
1378,1377,South,109,2,5,7,12,4,-1,-1,19,12,20,6
1377,1376,South,109,2,5,6,12,4,-1,-1,19,11,20,7
1476,1475,South,108,2,5,5,13,4,-1,-1,18,11,20,6
1575,1574,South,107,2,5,4,13,5,-1,-1,18,10,20,7
1674,1673,East,106,2,6,4,14,5,-1,-1,18,11,20,6
1773,1772,East,105,2,7,4,15,5,-1,-1,18,12,20,6
1772,1771,East,105,2,8,4,15,5,-1,-1,18,12,20,5
1771,1770,East,105,2,9,4,15,6,-1,-1,17,12,20,5
1870,1869,East,104,2,10,4,15,6,-1,-1,18,12,21,5
1969,1968,East,103,2,11,4,15,7,-1,-1,17,12,21,5
2068,2067,East,102,2,12,4,15,7,-1,-1,18,12,20,5
2067,2066,East,102,2,13,4,15,6,-1,-1,18,11,20,4
2066,2065,East,102,2,14,4,15,6,-1,-1,17,11,20,5
2165,2164,East,101,2,15,4,15,6,-1,-1,18,11,20,5
2264,2263,North,100,2,15,5,14,6,-1,-1,17,11,20,5
2263,2262,North,100,2,15,6,14,5,-1,-1,18,11,21,5
2362,2361,North,99,2,15,7,14,6,-1,-1,18,11,22,5
2461,2460,North,98,2,15,8,15,6,-1,-1,18,11,22,5
2460,2459,North,98,2,15,9,15,7,-1,-1,18,11,22,6
2559,2558,North,97,2,15,10,15,8,-1,-1,18,10,22,7
2658,2657,North,96,2,15,11,15,8,-1,-1,18,9,22,6
2757,2756,East,95,2,16,11,15,8,-1,-1,19,9,23,6
2856,2855,East,94,2,17,11,15,9,-1,-1,18,9,23,7
2855,2854,East,94,2,18,11,14,9,-1,-1,19,9,23,7
2854,2853,South,94,2,18,10,14,10,-1,-1,18,9,22,7
3153,3152,South,93,2,18,9,13,10,-1,-1,-1,-1,22,8
3152,3151,South,93,2,18,8,13,11,-1,-1,-1,-1,22,8
3151,3150,East,93,2,19,8,13,10,-1,-1,-1,-1,22,9
3250,3249,East,92,2,20,8,12,10,-1,-1,-1,-1,22,8
3549,3548,East,91,2,21,8,13,10,-1,-1,-1,-1,-1,-1
3648,3647,East,90,2,22,8,13,11,-1,-1,-1,-1,-1,-1
3647,3646,East,90,2,23,8,13,10,-1,-1,-1,-1,-1,-1
3646,3645,East,90,2,23,8,14,10,-1,-1,-1,-1,-1,-1
3645,3644,North,90,2,23,9,14,11,-1,-1,-1,-1,-1,-1
3644,3643,North,90,2,23,10,14,10,-1,-1,-1,-1,-1,-1
3643,3642,North,90,2,23,11,14,10,-1,-1,-1,-1,-1,-1
3742,3741,West,89,2,22,11,14,10,-1,-1,-1,-1,-1,-1
3841,3840,West,88,2,21,11,14,10,-1,-1,-1,-1,-1,-1
3940,3939,West,87,2,20,11,13,10,-1,-1,-1,-1,-1,-1
3939,3938,West,87,2,19,11,13,10,-1,-1,-1,-1,-1,-1
3938,3937,West,87,2,18,11,13,11,-1,-1,-1,-1,-1,-1
3937,3936,South,87,2,18,10,13,11,-1,-1,-1,-1,-1,-1
3936,3935,South,87,2,18,9,12,11,-1,-1,-1,-1,-1,-1
4035,4034,West,86,2,17,9,13,11,-1,-1,-1,-1,-1,-1
4034,4033,West,86,2,16,9,14,11,-1,-1,-1,-1,-1,-1
4033,4032,West,86,2,15,9,14,12,-1,-1,-1,-1,-1,-1
4032,4031,West,86,2,14,9,14,12,-1,-1,-1,-1,-1,-1
