@relation 'training_keyboard-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
4730,4729,79,2,20,11,-1,-1,-1,-1,19,12,-1,-1,North
4829,4828,78,2,20,12,-1,-1,-1,-1,19,12,-1,-1,North
0,-1,121,2,4,12,9,3,11,7,19,12,22,9,Stop
-1,-2,121,2,4,12,8,3,11,8,19,11,22,9,Stop
-2,-3,121,2,4,12,8,3,10,8,19,12,21,9,Stop
-3,-4,121,2,4,12,8,4,10,9,18,12,21,8,Stop
-4,-5,121,2,4,12,9,4,10,8,18,11,21,7,Stop
-5,-6,121,2,4,12,8,4,9,8,19,11,20,7,Stop
-6,-7,121,2,4,12,7,4,9,8,20,11,21,7,Stop
-7,-8,121,2,5,12,7,4,9,7,19,11,20,7,East
-8,-9,121,2,6,12,8,4,9,7,18,11,20,8,East
91,90,120,2,7,12,8,3,8,7,19,11,21,8,East
190,189,119,2,8,12,9,3,8,8,20,11,21,7,East
289,288,118,2,9,12,10,3,8,9,20,12,21,6,East
388,387,117,2,10,12,11,3,7,9,19,12,22,6,East
487,486,116,2,10,11,11,3,8,9,20,12,22,5,South
586,585,115,2,10,10,11,4,7,9,20,11,22,6,South
685,684,114,2,10,9,11,4,6,9,20,11,21,6,South
784,783,113,2,9,9,11,3,6,8,20,11,21,7,West
883,882,112,2,8,9,12,3,6,8,19,11,20,7,West
982,981,111,2,7,9,13,3,6,9,19,11,20,6,West
1181,1180,111,2,6,9,13,4,-1,-1,20,11,20,5,West
1180,1179,111,2,5,9,14,4,-1,-1,20,12,20,4,West
1279,1278,110,2,5,8,13,4,-1,-1,19,12,20,5,South
1378,1377,109,2,5,7,12,4,-1,-1,19,12,20,6,South
